,xmin,ymin,xmax,ymax,confidence,class,name
0,525.0700073242188,1768.641845703125,1230.772705078125,2200.4541015625,0.9506701827049255,0,desk
1,1077.0660400390625,776.2263793945312,2046.1231689453125,2059.375244140625,0.9494332671165466,1,person
2,2855.801513671875,1528.577880859375,3597.53515625,1890.710205078125,0.9473516941070557,0,desk
3,2367.481201171875,2074.43017578125,3433.8759765625,2997.775146484375,0.9412475824356079,0,desk
4,3261.562744140625,1270.7337646484375,3766.873779296875,1466.5030517578125,0.9362724423408508,0,desk
5,1934.30908203125,1341.8370361328125,2515.042236328125,1567.1844482421875,0.927766740322113,0,desk
6,2337.272705078125,1180.8033447265625,2851.609375,1305.6632080078125,0.923181414604187,0,desk
7,0.0,1408.5777587890625,735.390380859375,1664.510986328125,0.9213036894798279,0,desk
8,806.173095703125,1239.760009765625,1296.7142333984375,1384.478271484375,0.9138520359992981,0,desk
9,1650.8701171875,1099.395263671875,2026.382568359375,1186.3563232421875,0.9017729163169861,0,desk
